IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
KOMPACTNOREOUT,messages_per_pair: 50000!N!pipeline_size: 10!N!parallelism: 32!N!static_only: true!N!,10696.318276599999,51.131049494833015,22.866500486270578,0.0021377917050481665,10651.499935646909,10741.13661755309
KOMPACTNOREOUT,messages_per_pair: 50000!N!pipeline_size: 10!N!parallelism: 128!N!static_only: true!N!,40296.6667874,225.283121200676,100.7496746376071,0.0025001987179026335,40099.19742511029,40494.13614968971
KOMPACTNOREOUT,messages_per_pair: 50000!N!pipeline_size: 10!N!parallelism: 512!N!static_only: true!N!,257140.1733194,2402.409710538671,1074.3902845140121,0.004178228048324002,255034.36836175254,259245.97827704746
KOMPACTNOREOUT,messages_per_pair: 50000!N!pipeline_size: 100!N!parallelism: 32!N!static_only: true!N!,8738.433257399996,202.86493622413425,90.72395752966473,0.010382176627925453,8560.614300641853,8916.25221415814
KOMPACTNOREOUT,messages_per_pair: 50000!N!pipeline_size: 100!N!parallelism: 128!N!static_only: true!N!,43082.736547199995,1957.2157496062623,875.293492550562,0.02031657138565513,41367.161301800894,44798.311792599095
KOMPACTNOREOUT,messages_per_pair: 50000!N!pipeline_size: 100!N!parallelism: 512!N!static_only: true!N!,145632.45952079998,4767.740398744237,2132.1983261328132,0.014640955272943679,141453.35080157965,149811.5682400203
KOMPACTNOREOUT,messages_per_pair: 50000!N!pipeline_size: 1000!N!parallelism: 32!N!static_only: true!N!,8592.484278599999,227.61363875665316,101.79191377319142,0.01184662205629042,8392.972127604544,8791.996429595454
KOMPACTNOREOUT,messages_per_pair: 50000!N!pipeline_size: 1000!N!parallelism: 128!N!static_only: true!N!,18332.2359138,103.28711155990261,46.191400529509316,0.002519681764227009,18241.700768762163,18422.771058837836
KOMPACTNOREOUT,messages_per_pair: 50000!N!pipeline_size: 1000!N!parallelism: 512!N!static_only: true!N!,65498.536078,2302.078927331216,1029.5209942164795,0.015718229075997327,63480.6749293357,67516.3972266643
KOMPACTNOREIN,messages_per_pair: 50000!N!pipeline_size: 10!N!parallelism: 32!N!static_only: true!N!,10566.962140599999,135.50517880881227,60.59975822395364,0.005734832529693605,10448.18661448105,10685.737666718947
KOMPACTNOREIN,messages_per_pair: 50000!N!pipeline_size: 10!N!parallelism: 128!N!static_only: true!N!,40053.6632952,272.2920724413042,121.77271674261065,0.003040239187240679,39814.98877038448,40292.33782001552
KOMPACTNOREIN,messages_per_pair: 50000!N!pipeline_size: 10!N!parallelism: 512!N!static_only: true!N!,259843.67679540004,1258.27886269275,562.7194143264226,0.002165607496269789,258740.74674332025,260946.60684747982
KOMPACTNOREIN,messages_per_pair: 50000!N!pipeline_size: 100!N!parallelism: 32!N!static_only: true!N!,8998.977866199999,226.40017054421733,101.2492342908831,0.011251192723917393,8800.529366989867,9197.42636541013
KOMPACTNOREIN,messages_per_pair: 50000!N!pipeline_size: 100!N!parallelism: 128!N!static_only: true!N!,48883.7363902,2241.765382938928,1002.5479571714579,0.02050882422671039,46918.74239414394,50848.73038625606
KOMPACTNOREIN,messages_per_pair: 50000!N!pipeline_size: 100!N!parallelism: 512!N!static_only: true!N!,178928.48535499998,6099.851334630759,2727.9364473754385,0.015245959534967969,173581.72991814412,184275.24079185585
KOMPACTNOREIN,messages_per_pair: 50000!N!pipeline_size: 1000!N!parallelism: 32!N!static_only: true!N!,7863.0001194,214.73562196067118,96.03268957895148,0.012213237710885273,7674.776047825255,8051.2241909747445
KOMPACTNOREIN,messages_per_pair: 50000!N!pipeline_size: 1000!N!parallelism: 128!N!static_only: true!N!,21532.136340600002,1386.5370634128435,620.0782254228109,0.02879780322835965,20316.783018771293,22747.48966242871
KOMPACTNOREIN,messages_per_pair: 50000!N!pipeline_size: 1000!N!parallelism: 512!N!static_only: true!N!,70667.6457498,1907.5582466258059,853.0859820991221,0.01207180419055543,68995.59722488571,72339.69427471427
KOMPACTNORE,messages_per_pair: 50000!N!pipeline_size: 10!N!parallelism: 32!N!static_only: true!N!,10587.6985078,31.282527065256723,13.989971405178206,0.0013213420645546091,10560.278163845851,10615.118851754149
KOMPACTNORE,messages_per_pair: 50000!N!pipeline_size: 10!N!parallelism: 128!N!static_only: true!N!,40146.32705579999,230.78277159785168,103.20919306572081,0.0025708252942359777,39944.03703739118,40348.61707420881
KOMPACTNORE,messages_per_pair: 50000!N!pipeline_size: 10!N!parallelism: 512!N!static_only: true!N!,262598.525313,796.8462180268274,356.3604622243209,0.0013570543162782917,261900.05880704036,263296.9918189597
KOMPACTNORE,messages_per_pair: 50000!N!pipeline_size: 100!N!parallelism: 32!N!static_only: true!N!,9064.045488799999,204.78444842851965,91.58238948419398,0.01010391988846017,8884.544005410979,9243.546972189019
KOMPACTNORE,messages_per_pair: 50000!N!pipeline_size: 100!N!parallelism: 128!N!static_only: true!N!,41772.162780399995,1762.583787717404,788.2514330750348,0.01887025666396407,40227.18997157292,43317.135589227066
KOMPACTNORE,messages_per_pair: 50000!N!pipeline_size: 100!N!parallelism: 512!N!static_only: true!N!,167075.0247298,5397.505748512976,2413.83795252418,0.014447628880665612,162343.9023428526,171806.1471167474
KOMPACTNORE,messages_per_pair: 50000!N!pipeline_size: 1000!N!parallelism: 32!N!static_only: true!N!,7711.394867,196.0803778651812,87.68981079207805,0.01137145902971928,7539.522837847527,7883.266896152473
KOMPACTNORE,messages_per_pair: 50000!N!pipeline_size: 1000!N!parallelism: 128!N!static_only: true!N!,21085.9821462,1153.592842139969,515.9024026764309,0.024466605306758454,20074.813436954195,22097.150855445805
KOMPACTNORE,messages_per_pair: 50000!N!pipeline_size: 1000!N!parallelism: 512!N!static_only: true!N!,70032.8700848,1186.7892646992557,530.7482941669055,0.007578559803764198,68992.60342823286,71073.13674136714
